scenario_id,start,goal,success,timed_out,initial_dijkstra_cost,dynamic_path_cost,adaptability_extra_cost,steps_taken,replans,total_planning_time_ms,replan_events
34,"14,14","1,10",True,False,14.656854,14.656854,0.000000,13,3,6.130100,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.002259699977003038, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0027984000043943524, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.001071999955456704, ""found"": true}]"
35,"14,6","6,4",True,False,8.828427,8.828427,0.000000,8,2,5.807600,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0030438999528996646, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.002763700031209737, ""found"": true}]"
36,"2,11","6,5",True,False,7.656854,7.656854,0.000000,6,2,3.283100,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0023183999583125114, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.000964700011536479, ""found"": true}]"
37,"6,1","3,8",True,False,8.242641,8.242641,0.000000,7,2,3.170000,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0023994999937713146, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0007704999879933894, ""found"": true}]"
38,"11,8","4,9",True,False,7.414214,7.414214,0.000000,7,2,2.210800,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0017567999893799424, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0004540000227279961, ""found"": true}]"
39,"12,1","11,11",True,False,10.414214,10.414214,0.000000,10,3,2.235000,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0012280999799259007, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0008882000111043453, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00011869997251778841, ""found"": true}]"
40,"11,2","1,3",True,False,10.414214,10.414214,0.000000,10,3,2.421000,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0014662999892607331, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0008808999555185437, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 7.379997987300158e-05, ""found"": true}]"
41,"10,7","10,14",True,False,7.000000,7.000000,0.000000,7,2,1.686600,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0013918000040575862, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0002948000328615308, ""found"": true}]"
42,"2,13","9,3",True,False,12.899495,12.899495,0.000000,10,3,3.743200,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0018671000143513083, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0017766000237315893, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 9.950000094249845e-05, ""found"": true}]"
43,"12,8","4,2",True,False,10.485281,10.485281,0.000000,8,2,5.261400,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0032475999905727804, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0020138000254519284, ""found"": true}]"
44,"2,11","7,14",True,False,6.242641,6.242641,0.000000,5,2,2.057500,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0018862000433728099, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0001713000237941742, ""found"": true}]"
45,"11,0","11,13",True,False,13.000000,13.000000,0.000000,13,3,5.615100,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.002019000006839633, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0026023000245913863, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0009938000002875924, ""found"": true}]"
46,"9,9","3,11",True,False,6.828427,6.828427,0.000000,6,2,3.107400,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0025696000084280968, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0005377999623306096, ""found"": true}]"
47,"11,12","5,9",True,False,7.242641,7.242641,0.000000,6,2,2.191800,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.001685699971858412, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0005061000119894743, ""found"": true}]"
48,"13,6","0,14",True,False,16.313708,16.313708,0.000000,13,3,9.779200,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.004432399990037084, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00421069998992607, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0011360999778844416, ""found"": true}]"
49,"3,13","14,3",True,False,15.142136,15.142136,0.000000,11,3,10.026100,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.004812299972400069, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.004031000018585473, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0011827999842353165, ""found"": true}]"
50,"0,8","13,14",True,False,15.485281,15.485281,0.000000,13,3,9.457100,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.004477199981920421, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.003962300019338727, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0010176000068895519, ""found"": true}]"
