time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
4766,6,3.92,731,-1.2651727199999998,0.01,1170,0.9698153333333333,,,
4796,6,3.97,730,-1.2711076300000002,0.01,1180,0.9696253333333332,,,
4842,6,3.88,731,-1.25737475,0.01,1190,0.9693339999999999,,,
4884,6,4.07,729,-1.2789446800000002,0.01,1200,0.969068,,,
4926,6,3.86,730,-1.25219981,0.01,1210,0.968802,,,
4983,6,4.08,734,-1.2713704899999998,0.01,1220,0.968441,,,
5021,7,3.9,649,-1.2558171800000002,0.01,1230,0.9682003333333334,0.36112016439437866,10,0.001
5048,7,3.9,643,-1.2553680299999999,0.01,1240,0.9680293333333334,0.2388978898525238,23,0.001
5089,8,3.98,634,-1.2894473299999998,0.0,1250,0.9677696666666666,0.18525797128677368,44,0.001
5127,8,4.14,626,-1.3040723799999998,0.0,1260,0.9675289999999999,0.16755644977092743,63,0.001
5169,8,4.03,617,-1.29443959,0.0,1270,0.9672630000000001,0.17652878165245056,84,0.001
5226,8,4.3,607,-1.3135134899999996,0.0,1280,0.966902,0.1458263397216797,112,0.001
5270,8,4.28,598,-1.3186187599999997,0.0,1290,0.9666233333333334,0.14588479697704315,134,0.001
5332,9,4.48,588,-1.33277717,0.0,1300,0.9662306666666667,0.1565048098564148,165,0.001
5379,9,4.53,579,-1.33903045,0.0,1310,0.965933,0.13232877850532532,189,0.001
5431,9,4.48,571,-1.32942714,0.0,1320,0.9656036666666666,0.14548370242118835,215,0.001
5458,9,4.37,566,-1.3195264399999997,0.0,1330,0.9654326666666667,0.14756378531455994,228,0.001
5492,9,4.44,560,-1.3289759400000003,0.0,1340,0.9652173333333333,0.13980840146541595,245,0.001
5524,9,4.35,555,-1.3169980799999996,0.0,1350,0.9650146666666668,0.1338461935520172,261,0.001
5556,10,4.29,551,-1.3093019799999999,0.0,1360,0.964812,0.12760524451732635,277,0.001
5619,10,4.5,543,-1.33107384,0.0,1370,0.964413,0.1386115998029709,309,0.001
5651,10,4.25,538,-1.30832399,0.0,1380,0.9642103333333334,0.12462452054023743,325,0.001
5691,10,4.21,533,-1.3056278499999998,0.0,1390,0.963957,0.10320454835891724,345,0.001
5746,10,4.14,527,-1.3019393099999998,0.0,1400,0.9636086666666667,0.12385047227144241,372,0.001
5767,10,3.88,524,-1.2778232699999998,0.0,1410,0.9634756666666666,0.11249363422393799,383,0.001
5803,11,3.72,520,-1.26584162,0.0,1420,0.9632476666666666,0.10031318664550781,401,0.001
5840,11,3.82,516,-1.27305612,0.0,1430,0.9630133333333334,0.10314717888832092,419,0.001
5886,11,3.94,512,-1.27941845,0.0,1440,0.9627220000000001,0.08030471205711365,442,0.001
5921,11,3.97,508,-1.28299665,0.0,1450,0.9625003333333334,0.10660421848297119,460,0.001
5947,11,3.91,505,-1.28117028,0.0,1460,0.9623356666666667,0.10642074048519135,473,0.001
5977,11,3.58,501,-1.24809912,0.0,1470,0.9621456666666668,0.11053544282913208,488,0.001
6019,12,3.68,498,-1.2571633100000001,0.0,1480,0.9618796666666667,0.0410415343940258,509,0.001
6056,12,3.65,494,-1.25036729,0.0,1490,0.9616453333333332,0.04843588173389435,527,0.001
6122,12,3.76,489,-1.25959507,0.0,1500,0.9612273333333333,0.03856804594397545,560,0.001
6172,12,4.05,485,-1.2903746700000003,0.0,1510,0.9609106666666667,0.035412658005952835,585,0.001
6213,12,4.1,481,-1.2997830400000001,0.0,1520,0.960651,0.0358886793255806,606,0.001
