#{"t_start": 1784343020.691273, "env_id": "None"}
r,l,t
-1.831716,2,31.911663
-0.955858,1,31.917387
-0.899289,1,31.923495
-0.139512,14,32.023449
-0.863431,1,32.036985
-0.923431,1,32.04617
-0.873431,1,32.057097
-0.398721,6,32.074453
0.266274,2,32.095467
-0.856863,1,32.109716
-0.818579,1,32.125858
0.521127,7,32.160613
-3.025361,4,32.170633
0.209706,2,32.194717
-0.718579,2,32.217549
-1.807574,3,32.232162
-2.329361,2,32.237563
0.950193,7,32.277282
-0.947574,1,32.283549
-2.297645,2,32.292259
-1.593015,7,32.32436
-0.457502,2,32.334313
-1.778579,2,32.360229
-0.794437,1,32.378244
-0.818579,1,32.397187
0.694924,4,32.427362
0.02,2,32.430776
0.832477,9,32.517269
-1.129361,2,32.538827
-2.239361,7,32.549005
-0.397502,2,32.567317
-0.915147,1,32.578014
-2.676863,3,32.602742
-0.855147,1,32.616191
-3.126842,13,32.702079
-0.899289,1,32.712941
2.37262,9,32.775646
-1.465786,2,32.783524
1.70262,18,32.967555
3.782203,15,32.994784
-0.907574,1,33.006798
-0.885147,1,33.017722
0.21799,4,33.035075
