---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 164 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 165 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 166 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 167 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 168 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 169 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 170 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 171 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 172 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 173 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 174 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 175 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 176 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 177 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 178 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 179 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 180 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 181 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 182 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 183 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 184 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 185 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 186 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 187 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 188 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 189 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 190 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 191 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 192 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 193 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 194 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 195 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
