---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 135 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 136 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 137 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 138 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 139 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 140 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 141 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 142 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 143 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 144 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 145 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 146 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 147 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 148 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 149 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 150 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 151 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 152 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 153 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 154 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 155 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 156 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 157 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 158 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 159 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 160 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 161 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 162 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
