---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
  91 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  92 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  93 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  94 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  95 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  96 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  97 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  98 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  99 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 100 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 101 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 102 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 103 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 104 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 105 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 106 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 107 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 108 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 109 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 110 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 111 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 112 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 113 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 114 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 115 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 116 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 117 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 118 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 119 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 120 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 121 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 122 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 123 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 124 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 125 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 126 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 127 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 128 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 129 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 130 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 131 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 132 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 133 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 134 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 135 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 136 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 137 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 138 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 139 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 140 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 141 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 142 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 143 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 144 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 145 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 146 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 147 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 148 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
