method,split,policy_seed,scenarios,repetitions_per_scenario,route_measurements,route_mean_ms,route_median_ms,route_sample_std_ms,route_min_ms,route_max_ms,decision_measurements,decision_mean_ms,decision_median_ms,decision_sample_std_ms,decision_min_ms,decision_max_ms
rl_dqn,moving_obstacles_period_4,22,10,10,100,3.238495309578866,2.8973699982088874,0.9369652893165036,1.713364999886835,6.19433899919386,100,0.3896450750387525,0.37546847573731423,0.04811776562507049,0.34020862517536443,0.5736823745792208
rl_dqn,moving_obstacles_period_4,33,10,10,100,102.10459784038903,101.07125549529883,20.679345438329936,77.00820800710062,153.86192600635695,100,0.45379821262395126,0.44920557997910593,0.09190820194813305,0.3422587022537805,0.6838307822504753
rl_dqn,moving_obstacles_period_4,44,10,10,100,107.48096203114983,101.2719879990982,20.054234662481974,77.92849198085605,154.67924400763877,100,0.47769316458288813,0.45009772444043644,0.08912993183325323,0.3463488532482491,0.6874633067006167
rl_dqn,moving_obstacles_period_4,55,10,10,100,3.3155793603873462,3.1428640004378394,0.934455809939014,1.7367610016663093,6.575256998985424,100,0.40294005571976693,0.390195143024487,0.050164000380371485,0.34735220033326186,0.6409432000509696
rl_dqn,moving_obstacles_period_4,all_seeds,10,10,500,63.936876870171545,85.0249269969936,52.10239121939726,1.713364999886835,154.67924400763877,500,0.4368550792013852,0.41301437860708734,0.08448939139658887,0.33778812887451043,0.6874633067006167
rl_dqn,new_dynamic_obstacle_locations,11,30,10,300,107.12025914394569,99.38155300642393,19.81412739087755,76.5313690117182,175.54261701297946,300,0.47609004063975857,0.4416957911396619,0.08806278840390024,0.3401394178298587,0.7801894089465754
rl_dqn,new_dynamic_obstacle_locations,22,30,10,300,3.1939696101532413,3.133583999442635,1.4439972550019595,1.453967000998091,8.41767199926835,300,0.41817581174016644,0.37738202239173313,0.09478899878878638,0.34053920026053675,0.9466948569232565
rl_dqn,new_dynamic_obstacle_locations,33,30,10,300,91.70414154139507,83.67380300478544,17.600168838111415,74.55032001416839,147.00597001137794,300,0.4075739624062003,0.3718835689101575,0.0782229726138285,0.3313347556185262,0.6533598667172353
rl_dqn,new_dynamic_obstacle_locations,44,30,10,300,100.1711048203894,96.84784951514303,26.72604326999356,3.778071999477106,171.8404029870726,300,0.4570502043065687,0.430434886733969,0.08976418274365217,0.3362061867503346,0.7637351243869893
rl_dqn,new_dynamic_obstacle_locations,55,30,10,300,3.6639699933948577,3.526542501276708,1.186130743730935,1.8190410028182669,8.879055001671077,300,0.5071514345904146,0.5172449248220801,0.11471353375306359,0.3581157140745615,0.9865616668523418
rl_dqn,new_dynamic_obstacle_locations,all_seeds,30,10,1500,61.17068902185565,79.35929550967558,50.31272799711146,1.453967000998091,175.54261701297946,1500,0.4532082907366217,0.42380311108799007,0.10071792757185613,0.3313347556185262,0.9865616668523418
rl_dqn,no_fly_hard,11,10,10,100,70.34163428901593,76.02623500770278,37.63638479138529,0.7294749993889127,132.5672690236388,100,0.4013876150982267,0.36597425014406326,0.0789492346577351,0.3289394977683615,0.5891878623272836
rl_dqn,no_fly_hard,22,10,10,100,3.2209231001070293,3.126213001451106,1.1085917225972668,1.787994004189386,7.814311997208279,100,0.37750142500418504,0.36631707864996443,0.03933001250136415,0.34799737500179617,0.5973742003334337
rl_dqn,no_fly_hard,33,10,10,100,87.20550984951842,77.63596399854578,16.570014637096417,73.54431299427233,136.22067399410298,100,0.38758004377563743,0.34504872888242566,0.07364450949820629,0.32686361330787705,0.6054252177515688
rl_dqn,no_fly_hard,44,10,10,100,88.20883528022023,77.87790699512698,18.537322731095518,73.93316400339245,154.13754200926633,100,0.39203926791208993,0.3461240310894532,0.08238810102709118,0.3285918400150776,0.6850557422634059
rl_dqn,no_fly_hard,55,10,10,100,3.1590354796753672,3.1188190005195793,1.166260939359237,1.705794000372407,7.780893003655365,100,0.35742004347971823,0.34841739274530226,0.03196164191596862,0.33035949991244706,0.5557780716896689
rl_dqn,no_fly_hard,all_seeds,10,10,500,50.427187599707395,74.82181350133033,43.99012497362196,0.7294749993889127,154.13754200926633,500,0.38318567905397144,0.3568883836730189,0.066289807979271,0.32686361330787705,0.6850557422634059
rl_dqn,no_fly_penalty,11,10,10,100,85.29200786977526,76.7144185010693,15.883484600983971,73.10414099447371,127.83421598942368,100,0.37907559053233447,0.3409529711158636,0.07059326489326209,0.32490729330877205,0.5681520710641053
