method,split,independent_units,events_per_unit_mean,post_change_success_mean,post_change_success_95ci,recovery_rate_mean,recovery_rate_95ci,finite_post_cost_rate_mean,finite_post_cost_rate_95ci,recovery_steps_mean,recovery_steps_95ci,optimal_cost_shock_mean,optimal_cost_shock_95ci,extra_optimal_cost_mean,extra_optimal_cost_95ci,reaction_time_ms_mean,reaction_time_ms_95ci,node_expansions_mean,node_expansions_95ci
rl_dqn,moving_obstacles_period_4,5,341.6,0.4,0.6800873806582556,1.0,0.0,1.0,0.0,0.02142857142857143,0.05949525225423843,0.00020920944200960865,0.0005808585312287396,0.0010460472100480432,0.0029042926561436973,0.5347069178184418,0.12044934996475114,nan,nan
rl_dqn,new_dynamic_obstacle_locations,5,793.4,0.39197965571205007,0.6658159004094291,0.9996919903257931,0.0005237977723250954,1.0,0.0,0.04551085484542228,0.07850717228602702,0.004741452125706682,0.008209871742565999,0.0047414521257066865,0.008209871742566007,0.5476722210358888,0.1105417994818387,nan,nan
rl_dqn,stochastic_obstacles_p05,5,192.2,0.4,0.6800873806582556,1.0,0.0,1.0,0.0,0.0025396825396825397,0.007051289156057888,-0.00037192789690597124,0.0010326373888510933,0.0010519709520586539,0.0029207396006535116,0.5228034787089546,0.09954543007346663,nan,nan
rl_dqn,stochastic_obstacles_p20,5,670.2,0.4,0.6800873806582556,1.0,0.0,1.0,0.0,0.020437956204379562,0.03533501791487689,-0.0004535184989486421,0.0012591692165226124,0.0006046913319315358,0.0016788922886968264,0.5580540850299932,0.10192041491903138,nan,nan
rl_dynamic_from_scratch,all_dynamic,5,779.8,0.8093125,0.5294333759974043,1.0,0.0,1.0,0.0,0.0035535714285714285,0.006224334855583259,0.0019453244090022143,0.003163480028308302,0.0028920982658550026,0.0052051293355572575,0.43838912407740815,0.03282668898585719,nan,nan
rl_dynamic_from_scratch,changed_toggle_periods,5,280.2,0.8075278015397775,0.5343884933015428,1.0,0.0,1.0,0.0,0.006896551724137931,0.011725644494107857,0.005713290515490966,0.009713841954049767,0.005713290515490966,0.009713841954049767,0.431420516184334,0.02371723833497934,nan,nan
rl_dynamic_from_scratch,moving_obstacles_period_2,5,128.8,0.8125523012552301,0.5204382456605069,1.0,0.0,1.0,0.0,0.00529645882232881,0.013300857107534729,3.7162276974900635e-19,1.0317902200496752e-18,0.00404110792559117,0.011219914319583612,0.4480420647656973,0.09648259286051014,nan,nan
rl_dynamic_from_scratch,moving_obstacles_period_4,5,37.0,0.8263565891472868,0.4821113981118648,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401386348626132,0.03953402258164147,nan,nan
rl_dynamic_from_scratch,new_dynamic_obstacle_locations,5,162.8,0.803899721448468,0.544461658512325,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40184775743651585,0.04420495492245846,nan,nan
rl_dynamic_from_scratch,stochastic_obstacles_p05,5,31.6,0.8158730158730159,0.5112184638141969,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4910920779536629,0.15817534846264092,nan,nan
rl_dynamic_from_scratch,stochastic_obstacles_p20,5,139.4,0.8117241379310345,0.5227375956682742,1.0,0.0,1.0,0.0,0.0003448275862068965,0.000957394863861308,0.0002856645257745484,0.0007931318743153937,0.0002856645257745484,0.0007931318743153937,0.47457028737410617,0.10006572232195879,nan,nan
rl_full,all_dynamic,5,232.6,0.8788154897494305,0.33646214031098537,1.0,0.0,1.0,0.0,0.007017435777284294,0.006513731627776585,0.00242288735193889,0.004326288538259538,0.004667907072552795,0.0024943947119375888,0.5214269150736041,0.05034529653895959,nan,nan
rl_full,changed_toggle_periods,5,93.0,0.8474137931034482,0.4236472272586288,1.0,0.0,1.0,0.0,0.011148451198129749,0.010368885901059013,0.009235679371439844,0.008589866333835626,0.009235679371439844,0.008589866333835626,0.4674749388405924,0.06711329449510105,nan,nan
rl_full,moving_obstacles_period_2,5,42.2,1.0,0.0,1.0,0.0,1.0,0.0,0.013852813852813853,0.02539731718745991,-0.00532333337023428,0.017916928455503144,0.006607556695796793,0.01158146772764048,0.6317070952291289,0.0935764231797972,nan,nan
rl_full,moving_obstacles_period_4,5,14.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440611346504435,0.1382163361558406,nan,nan
rl_full,new_dynamic_obstacle_locations,5,41.4,0.8396396396396396,0.4452317375902768,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898890537614337,0.08108084644481647,nan,nan
rl_full,stochastic_obstacles_p05,5,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5246125550115721,0.09415264866175573,nan,nan
