method,split,independent_units,scenarios_per_unit,success_rate_mean,success_rate_95ci,path_cost_gap_mean,path_cost_gap_95ci,compute_time_ms_mean,compute_time_ms_95ci,decision_latency_ms_mean,decision_latency_ms_95ci,steps_mean,steps_95ci,replans_mean,replans_95ci,node_expansions_mean,node_expansions_95ci
astar,stochastic_obstacles_p05,10,1,1.0,0.0,0.0,0.0,0.18898660006,0.05458377196785847,0.10512205255,0.05585706265089953,7.3,1.5099887294314076,2.1,0.6263629556723539,19.7,5.947461235841014
astar,stochastic_obstacles_p20,10,1,1.0,0.0,0.0,0.0,0.39288739991,0.14981475464813007,0.07689816431,0.01993127524285526,7.9,2.063680346928817,4.9,1.1410883214850551,39.2,14.162541203628669
astar,unseen_layout_same_density,30,1,1.0,0.0,0.0,0.0,0.16456796001333335,0.03911486033835449,0.16456796001333335,0.03911486033835449,8.3,1.0430970787266853,1.0,0.0,18.1,3.739658265102772
astar,wind_energy_penalty_0_25,10,1,1.0,0.0,0.0,0.0,0.1732887999,0.07624188124447705,0.1732887999,0.07624188124447705,8.6,2.1645375549371995,1.0,0.0,16.9,8.705631969158844
astar,wind_energy_penalty_1_0,10,1,1.0,0.0,0.0,0.0,0.14501894998,0.03811125946250646,0.14501894998,0.03811125946250646,7.7,1.1706040995225087,1.0,0.0,14.6,4.187537450585487
dijkstra,changed_toggle_periods,30,1,1.0,0.0,0.0,0.0,2.7781515432866666,0.6949721412351274,0.9948702181333333,0.15239985214592466,8.066666666666666,0.9143039923830913,2.933333333333333,0.5453945712353876,243.83333333333334,58.862332284626376
dijkstra,denser_unseen_layout,30,1,1.0,0.0,0.0,0.0,0.5693748999933333,0.11062640452221933,0.5693748999933333,0.11062640452221933,8.6,1.1913534552440093,1.0,0.0,87.06666666666666,15.146872224328263
dijkstra,moving_obstacles_period_2,10,1,1.0,0.0,0.058578643799999955,0.13251409865917455,3.94192288002,1.2792331401818289,0.71570851164,0.157927117625064,10.0,2.185451447013319,5.2,1.1082261533675397,569.0,184.7582231452095
dijkstra,moving_obstacles_period_4,10,1,1.0,0.0,0.0,0.0,1.67848998995,0.6129991005270469,0.67567299334,0.1831231713791951,8.2,1.4621618283209237,2.4,0.36940871778917994,243.2,88.88534652168617
dijkstra,new_dynamic_obstacle_locations,30,1,1.0,0.0,0.0,0.0,1.1144115466066666,0.24411049822854705,0.59627933831,0.09298205353335923,7.366666666666666,0.8463051859299071,1.8,0.22787376602733792,159.8,35.08872349981316
