run_id,scenario_id,split,grid_size,planner,repetition,event_index,change_step,change_reason,planning_time_ms,reaction_time_ms,node_expansions,pre_change_optimal_cost,post_change_optimal_cost,optimal_cost_delta,extra_optimal_cost,recovery_steps,post_change_success
OOD-DYNLOC-003:dstar_lite:r01,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1392759995724191,0.1392759995724191,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r02,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.18000599993683863,0.18000599993683863,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r03,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1496499999120715,0.1496499999120715,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r04,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1415169999745558,0.1415169999745558,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r05,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.13658499938173918,0.13658499938173918,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r06,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.13684799978364026,0.13684799978364026,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r07,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1383419994454016,0.1383419994454016,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r08,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,8,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14135800029180245,0.14135800029180245,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r09,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,9,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14519700016535353,0.14519700016535353,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-003:dstar_lite:r10,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,dstar_lite,10,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.13639799999509705,0.13639799999509705,0,1.0,1.0,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r01,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06434399983845651,0.06434399983845651,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r02,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06383999971149024,0.06383999971149024,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r03,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06437800038838759,0.06437800038838759,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
