scenario_id,mode,grid_size,route_bucket,success,failure_label,immediate_invalid_action_crash,invalid_action_crash,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,decisions,path_cost,initial_astar_cost,path_cost_gap,mean_decision_latency_ms,episode_budget,budget_to_astar_cost_ratio,repeated_cell_count,dynamic_event_count
EMPTY-G030-R025-diagonal,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,7,9.899494936611667,9.899494936611667,0.0,0.05760002282581159,40,4.040610178208842,0,0
EMPTY-G030-R025-goal_opposing,original,30,empty,True,success,False,False,False,False,False,False,False,7,9.899494936611667,9.899494936611667,0.0,0.7785428315401077,40,4.040610178208842,0,0
EMPTY-G030-R025-goal_opposing,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,7,9.899494936611667,9.899494936611667,0.0,0.09814285606678043,40,4.040610178208842,0,0
EMPTY-G030-R050-horizontal,original,30,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,56,,14.0,,0.8558946470397392,56,4.0,41,0
EMPTY-G030-R050-horizontal,posthoc_masked,30,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,56,,14.0,,0.04518214388683971,56,4.0,41,0
EMPTY-G030-R050-vertical,original,30,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,56,,14.0,,0.6925607116759888,56,4.0,40,0
EMPTY-G030-R050-vertical,posthoc_masked,30,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,56,,14.0,,0.03816072005845074,56,4.0,40,0
EMPTY-G030-R050-diagonal,original,30,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.5560857160682124,80,4.0406101782088415,0,0
EMPTY-G030-R050-diagonal,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.06160000339150429,80,4.0406101782088415,0,0
EMPTY-G030-R050-goal_opposing,original,30,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.5070285655425063,80,4.0406101782088415,0,0
EMPTY-G030-R050-goal_opposing,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,14,19.798989873223338,19.798989873223338,0.0,0.04253570555842349,80,4.0406101782088415,0,0
EMPTY-G030-R075-horizontal,original,30,empty,True,success,False,False,False,False,False,False,False,24,26.48528137423857,22.0,4.485281374238571,0.5751666515910377,88,4.0,0,0
EMPTY-G030-R075-horizontal,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,24,26.48528137423857,22.0,4.485281374238571,0.03582499630283564,88,4.0,0,0
EMPTY-G030-R075-vertical,original,30,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,88,,22.0,,0.527431815333495,88,4.0,64,0
EMPTY-G030-R075-vertical,posthoc_masked,30,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,88,,22.0,,0.03466477739328349,88,4.0,64,0
EMPTY-G030-R075-diagonal,original,30,empty,True,success,False,False,False,False,False,False,False,22,31.112698372208104,31.112698372208104,0.0,0.5793045380745422,125,4.017652165832654,0,0
EMPTY-G030-R075-diagonal,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,22,31.112698372208104,31.112698372208104,0.0,0.05665909371931444,125,4.017652165832654,0,0
EMPTY-G030-R075-goal_opposing,original,30,empty,True,success,False,False,False,False,False,False,False,22,31.112698372208104,31.112698372208104,0.0,0.602613637139174,125,4.017652165832654,0,0
EMPTY-G030-R075-goal_opposing,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,22,31.112698372208104,31.112698372208104,0.0,0.035963635045019066,125,4.017652165832654,0,0
EMPTY-G030-R100-horizontal,original,30,empty,True,success,False,False,False,False,False,False,False,30,32.89949493661167,29.0,3.899494936611667,0.6775299863268932,116,4.0,0,0
EMPTY-G030-R100-horizontal,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,30,32.89949493661167,29.0,3.899494936611667,0.04492334167783459,116,4.0,0,0
EMPTY-G030-R100-vertical,original,30,empty,True,success,False,False,False,False,False,False,False,43,51.28427124746188,29.0,22.28427124746188,0.5904883714825955,116,4.0,0,0
EMPTY-G030-R100-vertical,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,43,51.28427124746188,29.0,22.28427124746188,0.04251627251505852,116,4.0,0,0
EMPTY-G030-R100-diagonal,original,30,empty,True,success,False,False,False,False,False,False,False,29,41.012193308819754,41.012193308819754,0.0,0.8156034445133189,165,4.023193755026909,0,0
EMPTY-G030-R100-diagonal,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,29,41.012193308819754,41.012193308819754,0.0,0.03806208180070951,165,4.023193755026909,0,0
EMPTY-G030-R100-goal_opposing,original,30,empty,True,success,False,False,False,False,False,False,False,35,47.01219330881975,39.59797974644666,7.414213562373085,0.4937228447358523,159,4.015356364595037,0,0
EMPTY-G030-R100-goal_opposing,posthoc_masked,30,empty,True,success,False,False,False,False,False,False,False,35,47.01219330881975,39.59797974644666,7.414213562373085,0.03852857875504664,159,4.015356364595037,0,0
EMPTY-G040-R025-horizontal,original,40,empty,False,longer_repeated_loop,False,False,False,True,False,True,True,40,,10.0,,0.43933501292485744,40,4.0,27,0
EMPTY-G040-R025-horizontal,posthoc_masked,40,empty,False,longer_repeated_loop,False,False,False,True,False,True,True,40,,10.0,,0.0339299876941368,40,4.0,27,0
EMPTY-G040-R025-vertical,original,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,40,,10.0,,0.5385249998653308,40,4.0,28,0
EMPTY-G040-R025-vertical,posthoc_masked,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,40,,10.0,,0.035014995955862105,40,4.0,28,0
EMPTY-G040-R025-diagonal,original,40,empty,True,success,False,False,False,False,False,False,False,10,14.142135623730955,14.142135623730955,0.0,0.5614599911496043,57,4.03050865276332,0,0
EMPTY-G040-R025-diagonal,posthoc_masked,40,empty,True,success,False,False,False,False,False,False,False,10,14.142135623730955,14.142135623730955,0.0,0.040559982880949974,57,4.03050865276332,0,0
EMPTY-G040-R025-goal_opposing,original,40,empty,True,success,False,False,False,False,False,False,False,10,14.142135623730955,14.142135623730955,0.0,0.6109300185926259,57,4.03050865276332,0,0
EMPTY-G040-R025-goal_opposing,posthoc_masked,40,empty,True,success,False,False,False,False,False,False,False,10,14.142135623730955,14.142135623730955,0.0,0.03380998969078064,57,4.03050865276332,0,0
EMPTY-G040-R050-horizontal,original,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,80,,20.0,,0.6350300056510605,80,4.0,58,0
EMPTY-G040-R050-horizontal,posthoc_masked,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,80,,20.0,,0.03590874985093251,80,4.0,58,0
EMPTY-G040-R050-vertical,original,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,80,,20.0,,0.7482374930987135,80,4.0,58,0
EMPTY-G040-R050-vertical,posthoc_masked,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,80,,20.0,,0.04184001008979976,80,4.0,58,0
EMPTY-G040-R050-diagonal,original,40,empty,True,success,False,False,False,False,False,False,False,20,28.284271247461913,28.284271247461913,0.0,0.5656549939885736,114,4.030508652763319,0,0
EMPTY-G040-R050-diagonal,posthoc_masked,40,empty,True,success,False,False,False,False,False,False,False,20,28.284271247461913,28.284271247461913,0.0,0.043005001498386264,114,4.030508652763319,0,0
EMPTY-G040-R050-goal_opposing,original,40,empty,True,success,False,False,False,False,False,False,False,20,28.284271247461913,28.284271247461913,0.0,0.5858100019395351,114,4.030508652763319,0,0
EMPTY-G040-R050-goal_opposing,posthoc_masked,40,empty,True,success,False,False,False,False,False,False,False,20,28.284271247461913,28.284271247461913,0.0,0.046300009125843644,114,4.030508652763319,0,0
EMPTY-G040-R075-horizontal,original,40,empty,False,longer_repeated_loop,False,False,False,True,False,True,True,116,,29.0,,0.5709836189233666,116,4.0,83,0
EMPTY-G040-R075-horizontal,posthoc_masked,40,empty,False,longer_repeated_loop,False,False,False,True,False,True,True,116,,29.0,,0.03994655682994374,116,4.0,83,0
EMPTY-G040-R075-vertical,original,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,116,,29.0,,0.7436706941446354,116,4.0,78,0
EMPTY-G040-R075-vertical,posthoc_masked,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,116,,29.0,,0.04979741763612577,116,4.0,78,0
EMPTY-G040-R075-diagonal,original,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,165,,41.012193308819754,,0.7325630303415837,165,4.023193755026909,132,0
EMPTY-G040-R075-diagonal,posthoc_masked,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,165,,41.012193308819754,,0.04257151758241834,165,4.023193755026909,132,0
EMPTY-G040-R075-goal_opposing,original,40,empty,True,success,False,False,False,False,False,False,False,29,41.012193308819754,41.012193308819754,0.0,0.667289654114123,165,4.023193755026909,0,0
EMPTY-G040-R075-goal_opposing,posthoc_masked,40,empty,True,success,False,False,False,False,False,False,False,29,41.012193308819754,41.012193308819754,0.0,0.045137921476672435,165,4.023193755026909,0,0
EMPTY-G040-R100-horizontal,original,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,156,,39.0,,0.6411788509024355,156,4.0,116,0
EMPTY-G040-R100-horizontal,posthoc_masked,40,empty,False,two_cell_oscillation,False,False,False,True,True,True,True,156,,39.0,,0.04151986631302115,156,4.0,116,0
